"","V1","V2","V3","V4","V5","V6","V7","V8"
"1","COMPANY","LTP","%CHANGE","VOLUME","BUY PRICE","SELL PRICE","BUY QTY","SELL QTY"
"2","Adani Ports","300.80","0.02","54552","300.80","301.00","263","100"
"3","Asian Paints","1,029.00","-0.20","9696","1029.05","1030.20","64","74"
"4","Axis Bank","513.10","-0.58","97695","513.10","513.40","269","450"
"5","Bajaj Auto","2,883.00","0.36","2002","2881.70","2884.00","8","47"
"6","Bharti Airtel","361.55","0.32","26890","361.25","361.45","53","289"
"7","BHEL","158.55","0.57","149954","158.55","158.70","1,757","246"
"8","Cipla","589.70","0.02","15155","589.25","589.75","182","182"
"9","Coal India","319.20","0.31","89512","319.25","319.40","667","75"
"10","Dr Reddys Labs","2,713.00","0.16","24723","2711.50","2713.00","30","5"
"11","GAIL","376.35","-0.80","430771","376.10","376.45","5","76"
"12","HDFC","1,379.50","0.60","2769","1376.55","1377.75","15","8"
"13","HDFC Bank","1,398.90","0.28","13813","1397.85","1398.80","85","75"
"14","Hero Motocorp","3,322.10","1.48","4322","3319.55","3321.85","11","7"
"15","HUL","870.75","0.06","4381","870.70","870.95","20","2"
"16","ICICI Bank","272.90","-0.13","156417","272.75","272.95","315","2,145"
"17","Infosys","1,020.65","0.89","76107","1020.60","1021.25","21","10"
"18","ITC","264.55","-0.09","335496","264.55","264.60","1,188","100"
"19","Larsen","1,489.00","0.82","22539","1488.20","1489.00","67","112"
"20","Lupin","1,448.00","-0.12","9814","1447.05","1448.20","269","5"
"21","M&M","1,301.15","-0.21","7352","1301.20","1302.35","15","7"
"22","Maruti Suzuki","5,937.85","-0.40","15842","5937.00","5941.95","35","16"
"23","NTPC","158.40","0.09","99028","158.40","158.55","500","266"
"24","ONGC","188.90","-0.45","123087","188.75","188.90","578","300"
"25","Reliance","1,283.90","-0.27","64216","1283.65","1284.00","52","40"
"26","SBI","273.20","0.00","227079","273.20","273.30","658","100"
"27","Sun Pharma","684.50","-0.13","29209","684.10","684.45","194","12"
"28","Tata Motors","467.00","-0.13","98543","467.35","467.45","448","50"
"29","Tata Steel","470.05","0.12","167509","469.70","469.95","272","25"
"30","TCS","2,536.10","0.66","10063","2536.10","2537.90","17","63"
"31","Wipro","485.25","0.22","5163","485.10","485.65","18","4"
